date,time,index,title,reply,views
01-12,02:00,136464,진짜 제발 돌아와주시면 안될까요...?.jpg,42000,464
01-12,02:00,136463,OCN 최초 시청률 10퍼 드라마..,51000,445
01-12,02:00,136462,실패한 사람은 안 된다고 하지. 근데 성공한 사람은 하라고 해.,53000,1292
01-12,02:00,136461,안경 벗고 잘생겨지는 방탄소년단 뷔,26000,475
01-12,02:00,136460,불호 50%에 도전하는 떡,39000,727
01-12,02:00,136459,차가운 아침공기를 그림에 녹여낸 프랑스 화가,39000,500
01-12,02:00,136458,프렌즈 vs 모던패밀리,7220,246
01-12,02:00,136457,불호 50%에 도전하는 음식,18000,553
01-12,02:00,136456,솔직히 떡볶이는 이때가 제일 맛있었음.jpg,55000,536
01-12,02:00,136455,불호 80%에 도전하는 밑반찬,25000,848
01-12,02:00,136454,방탄소년단 지민 트윗 업데이트,21000,235
01-12,02:00,136453,고수 강동원 젊은시절 투샷,15000,250
01-12,02:00,136452,잘때 속옷 입는다 vs 안입는다,16000,327
01-12,02:00,136451,팥죽 “이것” 때문에 싫어하는 사람 많음.jpg,29000,309
01-12,02:00,136450,누르기만 하면 체온 오르는 1분 지압법,8203,161
01-12,02:00,136449,강아지 안 키우는 사람은 화났다고 생각하는짤,41000,335
01-12,02:00,136448,디자인 호불호 갈린다는 교복,27000,277
01-12,02:00,136447,이건 진짜 불호가 70%이상이라고 자부함,5000,1358
01-12,02:00,136446,편의점 컵커피광공이 추천하는 커피모음,34000,473
01-12,02:00,136498,현재 더쿠에서 불타고 있는 주제,46000,389
01-12,02:00,136497,"[단독]박지훈, 웹툰원작 '멀리서 보면 푸른 봄' 주연 확정…대학판 미생 그려낸다",34000,633
01-12,02:00,136496,어제 트위터에서 난리났던 아이돌 포토카드 양도로 사기/협박한 계정,43000,647
01-12,02:00,136495,어제자 런닝맨에서 유재석이 송지효한테 한 말.jpg,13000,124
01-12,02:00,136494,국토 70%가 산으로 이루어져 있다는 걸 체감한건.jpg,51000,1186
01-12,02:00,136493,카페에서 배민으로 얼음컵만 15개 주문했는데 전화옴.txt,6000,801
01-12,02:00,136492,사실 베라에서 민트 계열은 민트초코만 있는게 아님,32000,568
01-12,02:00,136491,친구 결혼때 냉장고 선물했다 난감한 케이스,57000,555
01-12,02:00,136490,"부산 성당 성모마리아상 훼손…경찰, 돌 던진 남성 추적 중",13000,249
01-12,02:00,136489,갓세븐 재계약 관련 JYP엔터테인먼트 공식입장 전문 (전원 JYP 떠난다),34000,297
01-12,02:00,136488,별거 없어보이는데 인기라는 싱가폴 토스트,45000,495
01-12,02:00,136487,아시발 개웃겨 이거 2008년 글인데 사람들 여기서 십년동안 리버스싸움함.twt,47000,756
01-12,02:00,136486,공무원 사회에 있다는 문화 '시보떡',36000,728
01-12,02:00,136485,[네이버 페이] 클릭시 포인트 120원 적립,29000,1225
01-12,02:00,136484,주식 망해서 죽고싶습니다 jpg.,6000,697
01-12,02:00,136483,부모 눈 앞에서 투신자살한 중학생,54000,345
01-12,02:00,136482,우리나라에 김신영 쇼가 없는것은 국가적 손실이다.,42000,392
01-12,02:00,136481,"작년 하반기에 주식 사서 ""난 장기투자 할거라 괜찮아""가 위험한 이유.jpg",41000,269
01-12,02:00,136480,기껏 만든 눈사람 부수는 사람들…타오른 폭력성 논란,11000,171
01-12,02:00,136479,친일관련 블로그 게시물 중단 요청한 이지아,5000,665
01-12,02:00,136478,아이즈원 김민주 소속사 얼반웍스 고소 결과.jpg (닉네임박제),4000,442
01-12,02:00,136477,죽을 뻔한 댕댕이를 살린 사람의 순간 판단력...jpg,32000,379
01-12,02:00,136476,"'인기가요 1위' 경서 ""믿어지지 않는 큰 사랑..열심히 할게요!""",4000,558
01-12,02:00,136518,원덬기준 관상에 춤이라고는 찾아볼수가 없는데 춤존잘인 남녀 아이돌 4명.jpgif,4704,85
01-12,02:00,136517,125만원치 치킨 먹고 한 푼도 안 낸 공군부대,65000,2129
01-12,02:00,136516,JYP 떠나도 ‘GOT7’ 남는다,42000,288
01-12,02:00,136515,오늘자 너무이쁜 아이들 쇼케 의상,4000,426
01-12,02:00,136514,취향따라 비주얼 멤 엄청 갈린다는 걸그룹,12000,440
01-12,02:00,136513,슈가맨에 나오면 30대 불 장악할 수 있는 가수.jpg,49000,794
01-12,02:00,136512,뎡배랑 케톡이 서로 데려가겠다고 난리인 딸램 (짤많음),45000,622
01-12,02:00,136511,"[단독] ‘굿캐스팅’ 출연 男배우, 후배 女배우 성폭행…16일 경찰 조사",69000,433
01-12,02:00,136510,[펌] 미국 드라마 역사상 최악의 왕따사건 (섹스앤더시티),42000,482
01-12,02:00,136509,진짜 나 빼고 전세계 사람들은 다 본거 같음 jpg,57000,946
01-12,02:00,136508,어느 디시인의 파닭 논란,23000,407
01-12,02:00,136507,타 커뮤에서 1000플 넘어간 반말 논란...jpg,41000,436
01-12,02:00,136506,현역 시절 강호동이 찍 소리도 못했다는 씨름꾼.jpgif,18000,307
01-12,02:00,136505,지금 더 인기 많을 얼굴이라고 언급되는 남자 연예인 3명.jpg,48000,726
01-12,02:00,136504,불쾌함 주의) 강아지의 부성애,47000,626
01-12,02:00,136503,폐 건강 테스트,39000,1483
01-12,02:00,136438,얼굴합 좋기로 유명한 방탄 뷔 정국 투샷... (추가),18000,517
01-12,02:00,136437,유퀴즈온더블럭 인스타그램..jpg,48000,381
01-12,02:00,136475,죽기 전에 마지막 김치찌개 고르기.jpg,14000,410
01-12,02:00,136474,한파에 세탁기 절대절대절대절대 돌리면 안되는 이유.jpg,49000,466
01-12,02:00,136473,사만다 없는 '섹스앤더시티' 돌아온다..사라 제시카 파커 발표,34000,536
01-12,02:00,136472,90년대 후반생들부터 잘모르는 충격적인 문화,48000,707
